rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,The Super Mario Bros. Movie,"$716,538,293","$366,375,555",51.1%,"$350,162,738",48.9%
2,Ant-Man and the Wasp: Quantumania,"$474,395,201","$212,922,573",44.9%,"$261,472,628",55.1%
3,John Wick: Chapter 4,"$351,417,840","$161,817,840",46%,"$189,600,000",54%
4,Creed III,"$271,516,668","$155,416,668",57.2%,"$116,100,000",42.8%
5,Scream VI,"$167,273,149","$107,073,149",64%,"$60,200,000",36%
6,Dungeons & Dragons: Honor Among Thieves,"$158,665,409","$75,665,409",47.7%,"$83,000,000",52.3%
7,Shazam! Fury of the Gods,"$132,107,025","$57,507,025",43.5%,"$74,600,000",56.5%
8,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,092,334",73.8%
9,Chebi: My Fluffy Friend,"$86,611,412",-,-,"$86,611,412",100%
10,Cocaine Bear,"$85,215,100","$64,383,430",75.6%,"$20,831,670",24.4%
11,Titanic 25 Year Anniversary,"$68,705,727","$15,033,795",21.9%,"$53,671,932",78.1%
12,Magic Mike's Last Dance,"$56,805,156","$26,005,156",45.8%,"$30,800,000",54.2%
13,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806",18%,"$46,001,598",82%
14,65,"$56,072,012","$31,872,012",56.8%,"$24,200,000",43.2%
15,Air,"$56,068,025","$35,068,025",62.5%,"$21,000,000",37.5%
16,Knock at the Cabin,"$54,666,149","$35,397,980",64.8%,"$19,268,169",35.2%
17,Plane,"$52,223,372","$32,111,181",61.5%,"$20,112,191",38.5%
18,Jesus Revolution,"$52,010,708","$52,010,708",100%,-,-
19,Mummies,"$51,775,970","$4,275,970",8.3%,"$47,500,000",91.7%
20,Missing,"$45,102,025","$32,502,025",72.1%,"$12,600,000",27.9%
21,Asterix & Obelix: The Middle Kingdom,"$44,137,356",-,-,"$44,137,356",100%
22,80 for Brady,"$39,761,909","$39,330,588",98.9%,"$431,321",1.1%
23,The Pope's Exorcist,"$37,962,099","$10,562,099",27.8%,"$27,400,000",72.2%
24,Operation Fortune: Ruse de guerre,"$37,675,423","$6,496,125",17.2%,"$31,179,298",82.8%
25,Alibi.com 2,"$33,135,344",-,-,"$33,135,344",100%
26,Doraemon the Movie: Nobita's Sky Utopia,"$29,932,832",-,-,"$29,932,832",100%
27,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.6%,"$21,198,613",72.4%
28,Detective Conan: Black Iron Submarine,"$23,517,358",-,-,"$23,517,358",100%
29,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
30,Champions,"$18,305,670","$16,092,235",87.9%,"$2,213,435",12.1%
31,My Happy Marriage,"$17,340,751",-,-,"$17,340,751",100%
32,Ride On,"$17,279,902","$64,759",0.4%,"$17,215,143",99.6%
33,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
34,A Guilty Conscience,"$14,914,575",-,-,"$14,914,575",100%
35,Shin Kamen Rider,"$14,232,941",-,-,"$14,232,941",100%
36,The Three Musketeers: D'Artagnan,"$13,925,737",-,-,"$13,925,737",100%
37,The Point Men,"$13,431,580",-,-,"$13,431,580",100%
38,His Only Son,"$12,092,740","$12,084,084",99.9%,"$8,656",<0.1%
39,Renfield,"$11,890,800","$9,506,415",79.9%,"$2,384,385",20.1%
40,Die Drei ??? - Erbe des Drachen,"$11,585,352",-,-,"$11,585,352",100%
41,Epic Tails,"$11,166,144",-,-,"$11,166,144",100%
42,What's Love Got to Do with It?,"$10,736,600",-,-,"$10,736,600",100%
43,"Manta, Manta - Zwoter Teil","$10,614,697",-,-,"$10,614,697",100%
44,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
45,House Party,"$9,284,247","$9,002,247",97%,"$282,000",3%
46,Rafadan Tayfa Galaktik Tayfa,"$8,778,397",-,-,"$8,778,397",100%
47,Father & Soldier,"$8,546,858",-,-,"$8,546,858",100%
48,The Wandering Earth II,"$8,532,014","$5,023,132",58.9%,"$3,508,882",41.1%
49,The Crime Is Mine,"$8,504,116",-,-,"$8,504,116",100%
